India/State/UT/CITY/U.A. Name,Age group,Total population - Persons,Total population - Males,Total population - Females,Illiterate - Males,Illiterate - Females,Literate without Educational Level - Non formal - Males,Literate without Educational Level - Non formal - Females,Literate without Educational Level - formal - Males,Literate without Educational Level - formal - Females,Educational Level - Primary - Males,Educational Level - Primary - Females,Educational Level - Middle - Males,Educational Level - Middle - Females,Educational Level - Matriculation/Secondary - Males,Educational Level - Matriculation/Secondary - Females,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Males,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Females,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Males,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Females,Educational Level - Technical Diploma or Certificate not equal to Degree - Males,Educational Level - Technical Diploma or Certificate not equal to Degree - Females,Educational Level - Graduate and above - Males,Educational Level - Graduate and above - Females
SATARA,All ages,2451372,1208375,1242997,399253,682640,2280,1730,141280,123915,211835,173581,230962,172771,131799,59470,39761,12710,970,530,9310,2670,40925,12980
SATARA,0-6,397183,204586,192597,204586,192597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATARA,7,53720,27090,26630,6090,8070,190,150,20810,18410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATARA,8,59270,30570,28700,3610,5060,90,180,26870,23460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATARA,9,57180,28830,28350,1680,3760,130,60,18990,17620,8030,6910,0,0,0,0,0,0,0,0,0,0,0,0
SATARA,10,70610,36400,34210,2190,5210,60,10,11790,10940,22360,18050,0,0,0,0,0,0,0,0,0,0,0,0
SATARA,11,49700,26650,23050,860,2220,50,50,2760,2770,21120,16360,1860,1650,0,0,0,0,0,0,0,0,0,0
SATARA,12,67560,35030,32530,1980,4520,40,20,2340,3010,21170,17580,9500,7400,0,0,0,0,0,0,0,0,0,0
SATARA,13,49800,26310,23490,1000,2490,30,50,910,1290,8550,7230,15820,12430,0,0,0,0,0,0,0,0,0,0
SATARA,14,52590,28080,24510,1110,2540,10,50,750,1320,5370,4570,19630,15250,1100,720,80,30,30,30,0,0,0,0
SATARA,15-19,228421,124701,103720,8110,19150,190,150,4770,5190,12641,14470,50730,38460,36350,19820,10070,5380,200,190,840,240,800,670
SATARA,20-24,204417,96467,107950,10355,35510,180,140,4210,5440,11510,16570,25070,29660,20349,11650,14720,4150,140,70,2160,440,7773,4320
SATARA,25-29,185144,81001,104143,12875,43949,170,200,5110,6153,13250,17191,20153,22620,14400,8940,5971,1670,100,30,1130,400,7842,2990
SATARA,30-34,159810,70916,88894,13070,43242,140,150,4550,5672,11577,14280,16829,15530,13580,6930,3690,680,150,50,980,400,6350,1960
SATARA,35-39,154638,70900,83738,13980,44814,130,90,5060,5710,12610,13470,15450,12454,14120,5110,2060,340,80,20,920,330,6490,1400
SATARA,40-44,132884,64140,68744,14620,43894,230,80,5010,4650,11930,9060,12840,6930,11740,2760,1420,150,60,20,1020,310,5270,890
SATARA,45-49,119551,56600,62951,15550,45690,140,80,5100,3990,11960,6970,11490,3881,8210,1510,600,90,20,40,830,290,2700,410
SATARA,50-54,104633,49887,54746,17530,43890,120,70,5060,2710,10757,4270,9420,2466,4300,820,400,110,50,30,540,170,1710,210
SATARA,55-59,84600,43280,41320,16200,34550,100,90,5550,1930,9270,2520,7290,1530,3280,520,290,50,20,30,410,40,870,60
SATARA,60-64,80751,38657,42094,18377,37274,140,30,4200,1500,7670,1700,5540,1090,1850,390,190,30,30,0,180,50,480,30
SATARA,65-69,53100,26270,26830,12800,24130,60,20,3010,850,5200,1100,3740,590,1020,120,70,10,20,0,130,0,220,10
SATARA,70-74,41520,20380,21140,11010,19460,40,30,2290,620,3480,590,2700,330,560,50,80,20,30,10,60,0,130,30
SATARA,75-79,17770,8820,8950,4430,8340,10,30,940,170,1450,240,1350,110,410,50,40,0,20,10,60,0,110,0
SATARA,80+,25220,12110,13110,7040,11910,20,0,1100,450,1870,380,1390,330,420,40,40,0,20,0,50,0,160,0
SATARA,Age not stated,1300,700,600,200,370,10,0,100,60,60,70,160,60,110,40,40,0,0,0,0,0,20,0
