india_state_ut_city_u.a._name,age_group,total_population_persons,total_population_males,total_population_females,illiterate_males,illiterate_females,literate_without_educational_level_non_formal_males,literate_without_educational_level_non_formal_females,literate_without_educational_level_formal_males,literate_without_educational_level_formal_females,educational_level_primary_males,educational_level_primary_females,educational_level_middle_males,educational_level_middle_females,educational_level_matriculation_secondary_males,educational_level_matriculation_secondary_females,educational_level_higher_secondary_intermediate_pre_university_senior_secondary_males,educational_level_higher_secondary_intermediate_pre_university_senior_secondary_females,educational_level_non_technical_diploma_or_certificate_not_equal_to_degree_males,educational_level_non_technical_diploma_or_certificate_not_equal_to_degree_females,educational_level_technical_diploma_or_certificate_not_equal_to_degree_males,educational_level_technical_diploma_or_certificate_not_equal_to_degree_females,educational_level_graduate_and_above_males,educational_level_graduate_and_above_females,total_persons,total_males,total_females,illiterate_total,approx_literate_total,approx_literacy_rate_pct,sex_ratio_f_per_1000_m
SATARA,All ages,2451372,1208375,1242997,399253,682640,2280,1730,141280,123915,211835,173581,230962,172771,131799,59470,39761,12710,970,530,9310,2670,40925,12980,2451372,1208375,1242997,1081893,1369479,55.87,1028.65
SATARA,0-6,397183,204586,192597,204586,192597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397183,204586,192597,397183,0,0.0,941.4
SATARA,7,53720,27090,26630,6090,8070,190,150,20810,18410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53720,27090,26630,14160,39560,73.64,983.02
SATARA,8,59270,30570,28700,3610,5060,90,180,26870,23460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59270,30570,28700,8670,50600,85.37,938.83
SATARA,9,57180,28830,28350,1680,3760,130,60,18990,17620,8030,6910,0,0,0,0,0,0,0,0,0,0,0,0,57180,28830,28350,5440,51740,90.49,983.35
SATARA,10,70610,36400,34210,2190,5210,60,10,11790,10940,22360,18050,0,0,0,0,0,0,0,0,0,0,0,0,70610,36400,34210,7400,63210,89.52,939.84
SATARA,11,49700,26650,23050,860,2220,50,50,2760,2770,21120,16360,1860,1650,0,0,0,0,0,0,0,0,0,0,49700,26650,23050,3080,46620,93.8,864.92
SATARA,12,67560,35030,32530,1980,4520,40,20,2340,3010,21170,17580,9500,7400,0,0,0,0,0,0,0,0,0,0,67560,35030,32530,6500,61060,90.38,928.63
SATARA,13,49800,26310,23490,1000,2490,30,50,910,1290,8550,7230,15820,12430,0,0,0,0,0,0,0,0,0,0,49800,26310,23490,3490,46310,92.99,892.82
SATARA,14,52590,28080,24510,1110,2540,10,50,750,1320,5370,4570,19630,15250,1100,720,80,30,30,30,0,0,0,0,52590,28080,24510,3650,48940,93.06,872.86
SATARA,15-19,228421,124701,103720,8110,19150,190,150,4770,5190,12641,14470,50730,38460,36350,19820,10070,5380,200,190,840,240,800,670,228421,124701,103720,27260,201161,88.07,831.75
SATARA,20-24,204417,96467,107950,10355,35510,180,140,4210,5440,11510,16570,25070,29660,20349,11650,14720,4150,140,70,2160,440,7773,4320,204417,96467,107950,45865,158552,77.56,1119.04
SATARA,25-29,185144,81001,104143,12875,43949,170,200,5110,6153,13250,17191,20153,22620,14400,8940,5971,1670,100,30,1130,400,7842,2990,185144,81001,104143,56824,128320,69.31,1285.7
SATARA,30-34,159810,70916,88894,13070,43242,140,150,4550,5672,11577,14280,16829,15530,13580,6930,3690,680,150,50,980,400,6350,1960,159810,70916,88894,56312,103498,64.76,1253.51
SATARA,35-39,154638,70900,83738,13980,44814,130,90,5060,5710,12610,13470,15450,12454,14120,5110,2060,340,80,20,920,330,6490,1400,154638,70900,83738,58794,95844,61.98,1181.07
SATARA,40-44,132884,64140,68744,14620,43894,230,80,5010,4650,11930,9060,12840,6930,11740,2760,1420,150,60,20,1020,310,5270,890,132884,64140,68744,58514,74370,55.97,1071.78
SATARA,45-49,119551,56600,62951,15550,45690,140,80,5100,3990,11960,6970,11490,3881,8210,1510,600,90,20,40,830,290,2700,410,119551,56600,62951,61240,58311,48.77,1112.21
SATARA,50-54,104633,49887,54746,17530,43890,120,70,5060,2710,10757,4270,9420,2466,4300,820,400,110,50,30,540,170,1710,210,104633,49887,54746,61420,43213,41.3,1097.4
SATARA,55-59,84600,43280,41320,16200,34550,100,90,5550,1930,9270,2520,7290,1530,3280,520,290,50,20,30,410,40,870,60,84600,43280,41320,50750,33850,40.01,954.71
SATARA,60-64,80751,38657,42094,18377,37274,140,30,4200,1500,7670,1700,5540,1090,1850,390,190,30,30,0,180,50,480,30,80751,38657,42094,55651,25100,31.08,1088.91
SATARA,65-69,53100,26270,26830,12800,24130,60,20,3010,850,5200,1100,3740,590,1020,120,70,10,20,0,130,0,220,10,53100,26270,26830,36930,16170,30.45,1021.32
SATARA,70-74,41520,20380,21140,11010,19460,40,30,2290,620,3480,590,2700,330,560,50,80,20,30,10,60,0,130,30,41520,20380,21140,30470,11050,26.61,1037.29
SATARA,75-79,17770,8820,8950,4430,8340,10,30,940,170,1450,240,1350,110,410,50,40,0,20,10,60,0,110,0,17770,8820,8950,12770,5000,28.14,1014.74
SATARA,80+,25220,12110,13110,7040,11910,20,0,1100,450,1870,380,1390,330,420,40,40,0,20,0,50,0,160,0,25220,12110,13110,18950,6270,24.86,1082.58
SATARA,Age not stated,1300,700,600,200,370,10,0,100,60,60,70,160,60,110,40,40,0,0,0,0,0,20,0,1300,700,600,570,730,56.15,857.14
